repository,createdAt,age,pullRequests,releases,updatedAt,daysSinceUpdate,primaryLanguage,closedIssues,totalIssues,issuesRatio
freeCodeCamp/freeCodeCamp,2014-12-24 17:49:19,2975,19176,0,2023-02-16 14:47:05,0:09:54.030907,TypeScript,16527,16679,0.9908867438095809
EbookFoundation/free-programming-books,2013-10-11 06:50:37,3415,5585,0,2023-02-16 14:53:36,0:03:23.030907,none,883,909,0.9713971397139713
996icu/996.ICU,2019-03-26 07:31:14,1423,1063,0,2023-02-16 14:41:51,0:15:08.030907,none,0,0,0
jwasham/coding-interview-university,2016-06-06 02:34:12,2446,356,0,2023-02-16 14:53:25,0:03:34.030907,none,339,383,0.8851174934725848
sindresorhus/awesome,2014-07-11 13:42:37,3142,607,0,2023-02-16 14:56:22,0:00:37.030907,none,296,320,0.925
kamranahmedse/developer-roadmap,2017-03-15 13:45:52,2164,1443,1,2023-02-16 14:54:06,0:02:53.030907,Astro,750,886,0.8465011286681715
public-apis/public-apis,2016-03-20 23:49:42,2523,1871,0,2023-02-16 14:40:56,0:16:03.030907,Python,415,443,0.9367945823927766
donnemartin/system-design-primer,2017-02-26 16:15:28,2180,195,0,2023-02-16 14:47:45,0:09:14.030907,Python,71,244,0.29098360655737704
vuejs/vue,2013-07-29 03:24:51,3489,1118,245,2023-02-16 14:45:04,0:11:55.030907,TypeScript,9583,9942,0.9638905652786159
facebook/react,2013-05-24 16:15:54,3554,8787,99,2023-02-16 14:39:26,0:17:33.030907,JavaScript,11111,12039,0.9229171858127752
codecrafters-io/build-your-own-x,2018-05-09 12:03:18,1744,111,0,2023-02-16 14:54:46,0:02:13.030907,none,378,539,0.7012987012987013
tensorflow/tensorflow,2015-11-07 01:19:20,2658,15708,185,2023-02-16 14:31:49,0:25:10.030907,C++,34624,36673,0.9441278324653014
getify/You-Dont-Know-JS,2013-11-16 02:37:24,3379,356,0,2023-02-16 14:50:30,0:06:29.030907,none,825,908,0.9085903083700441
trekhleb/javascript-algorithms,2018-03-24 07:47:04,1790,280,0,2023-02-16 14:38:05,0:18:54.030907,JavaScript,204,311,0.6559485530546624
twbs/bootstrap,2011-07-29 21:19:00,4219,8164,83,2023-02-16 14:56:25,0:00:34.030907,JavaScript,21525,21777,0.9884281581485053
CyC2018/CS-Notes,2018-02-13 14:56:24,1829,375,0,2023-02-16 14:56:37,0:00:22.030907,none,439,556,0.789568345323741
vinta/awesome-python,2014-06-27 21:00:06,3155,530,0,2023-02-16 14:52:12,0:04:47.030907,Python,474,487,0.973305954825462
ohmyzsh/ohmyzsh,2009-08-28 18:15:37,4919,2828,0,2023-02-16 14:56:16,0:00:43.030907,Shell,4146,4376,0.9474405850091407
TheAlgorithms/Python,2016-07-16 09:44:01,2406,2149,0,2023-02-16 14:28:53,0:28:06.030907,Python,1207,1226,0.9845024469820555
flutter/flutter,2015-03-06 22:54:58,2903,29593,0,2023-02-16 14:56:46,0:00:13.030907,Dart,67299,78691,0.8552312208511774
torvalds/linux,2011-09-04 22:48:12,4182,9,0,2023-02-16 14:45:32,0:11:27.030907,C,0,0,0
github/gitignore,2010-11-08 20:17:14,4482,1523,0,2023-02-16 14:17:09,0:39:50.030907,none,0,0,0
microsoft/vscode,2015-09-03 20:23:38,2722,15170,91,2023-02-16 14:46:43,0:10:16.030907,TypeScript,144646,150586,0.9605541019749512
ossu/computer-science,2014-05-04 00:18:39,3210,236,0,2023-02-16 14:53:29,0:03:30.030907,none,585,599,0.9766277128547579
airbnb/javascript,2012-11-01 23:13:50,3758,792,0,2023-02-16 14:33:52,0:23:07.030907,JavaScript,1133,1230,0.9211382113821138
Snailclimb/JavaGuide,2018-05-07 13:27:00,1746,766,0,2023-02-16 14:45:21,0:11:38.030907,Java,789,855,0.9228070175438596
jackfrued/Python-100-Days,2018-03-01 16:05:52,1812,12,0,2023-02-16 14:47:25,0:09:34.030907,Python,101,596,0.16946308724832215
jlevy/the-art-of-command-line,2015-05-20 15:11:03,2828,312,0,2023-02-16 14:53:36,0:03:23.030907,none,129,230,0.5608695652173913
awesome-selfhosted/awesome-selfhosted,2015-06-01 02:33:17,2817,2084,0,2023-02-16 14:54:43,0:02:16.030907,Makefile,705,762,0.9251968503937008
ytdl-org/youtube-dl,2010-10-31 14:35:07,4491,1600,341,2023-02-16 14:55:17,0:01:42.030907,Python,21560,25395,0.8489860208702501
labuladong/fucking-algorithm,2020-02-19 09:01:23,1093,210,1,2023-02-16 14:50:14,0:06:45.030907,Markdown,423,495,0.8545454545454545
golang/go,2014-08-19 04:33:40,3103,1,0,2023-02-16 14:56:36,0:00:23.030907,Go,46649,54464,0.8565107226792009
30-seconds/30-seconds-of-code,2017-11-29 17:35:03,1904,753,4,2023-02-16 14:26:46,0:30:13.030907,JavaScript,277,277,1.0
facebook/react-native,2015-01-09 18:10:16,2959,658,241,2023-02-16 14:25:56,0:31:03.030907,JavaScript,21941,23922,0.9171891982275729
electron/electron,2013-04-12 01:47:36,3597,16477,1133,2023-02-16 14:39:51,0:17:08.030907,C++,17116,17978,0.9520525086216487
d3/d3,2010-09-27 17:22:42,4524,439,190,2023-02-16 11:22:29,3:34:30.030907,JavaScript,2127,2131,0.998122946973252
vercel/next.js,2016-10-05 23:32:51,2324,11410,1697,2023-02-16 14:40:23,0:16:36.030907,JavaScript,13843,15101,0.916694258658367
justjavac/free-programming-books-zh_CN,2013-11-04 01:59:19,3391,280,3,2023-02-16 14:23:18,0:33:41.030907,none,0,0,0
facebook/create-react-app,2016-07-17 14:55:11,2405,1942,83,2023-02-16 14:43:12,0:13:47.030907,JavaScript,6460,7982,0.8093209721874217
axios/axios,2014-08-18 22:30:27,3103,723,56,2023-02-16 14:42:56,0:14:03.030907,JavaScript,3782,4104,0.9215399610136452
avelino/awesome-go,2014-07-06 13:42:15,3147,2898,0,2023-02-16 14:46:45,0:10:14.030907,Go,520,544,0.9558823529411765
kubernetes/kubernetes,2014-06-06 22:56:04,3176,54075,582,2023-02-16 14:28:43,0:28:16.030907,Go,40870,42465,0.9624396561874485
nodejs/node,2014-11-26 19:57:11,3003,5622,327,2023-02-16 14:51:11,0:05:48.030907,JavaScript,14254,15558,0.9161845995629259
practical-tutorials/project-based-learning,2017-04-12 05:07:46,2136,179,0,2023-02-16 14:54:47,0:02:12.030907,none,44,68,0.6470588235294118
trimstray/the-book-of-secret-knowledge,2018-06-23 10:43:14,1699,122,0,2023-02-16 14:54:15,0:02:44.030907,none,0,0,0
mrdoob/three.js,2010-03-23 18:58:01,4712,10485,141,2023-02-16 14:36:53,0:20:06.030907,JavaScript,11208,11574,0.9683773976153447
microsoft/TypeScript,2014-06-17 15:28:39,3165,12616,168,2023-02-16 14:47:57,0:09:02.030907,TypeScript,30325,36138,0.8391443909458188
denoland/deno,2018-05-15 01:34:26,1738,7723,213,2023-02-16 14:28:05,0:28:54.030907,Rust,6218,7290,0.8529492455418382
microsoft/terminal,2017-08-11 18:38:22,2014,3044,89,2023-02-16 12:30:55,2:26:04.030907,C++,9506,10987,0.8652043323928279
microsoft/PowerToys,2019-05-01 17:44:02,1386,3785,75,2023-02-16 14:39:03,0:17:56.030907,C#,15516,19834,0.782293032166986
goldbergyoni/nodebestpractices,2017-09-15 08:33:19,1980,745,0,2023-02-16 14:35:28,0:21:31.030907,JavaScript,279,300,0.93
angular/angular,2014-09-18 16:12:01,3072,3314,245,2023-02-16 14:48:00,0:08:59.030907,TypeScript,23691,24888,0.9519045323047252
yangshun/tech-interview-handbook,2016-07-05 05:00:48,2417,429,0,2023-02-16 14:47:10,0:09:49.030907,TypeScript,54,69,0.782608695652174
mui/material-ui,2014-08-18 19:11:54,3103,14972,395,2023-02-16 14:45:04,0:11:55.030907,JavaScript,15793,16951,0.9316854462863547
ant-design/ant-design,2015-04-24 15:37:24,2854,10479,561,2023-02-16 14:51:57,0:05:02.030907,TypeScript,24970,25886,0.9646140771073167
puppeteer/puppeteer,2017-05-09 22:16:13,2108,2954,171,2023-02-16 14:23:01,0:33:58.030907,TypeScript,5589,5827,0.9591556547108289
huggingface/transformers,2018-10-29 13:56:00,1571,8605,109,2023-02-16 14:46:27,0:10:32.030907,Python,10457,10883,0.9608563815124506
PanJiaChen/vue-element-admin,2017-04-17 03:35:49,2131,313,49,2023-02-16 13:45:12,1:11:47.030907,Vue,2331,3503,0.6654296317442192
iluwatar/java-design-patterns,2014-08-09 16:45:18,3112,1062,0,2023-02-16 14:29:26,0:27:33.030907,Java,655,841,0.7788347205707491
ryanmcdermott/clean-code-javascript,2016-11-25 22:25:41,2273,149,0,2023-02-16 14:44:18,0:12:41.030907,JavaScript,81,133,0.6090225563909775
rust-lang/rust,2010-06-16 20:39:03,4627,45797,108,2023-02-16 14:52:32,0:04:27.030907,Rust,38379,47214,0.8128733002922862
animate-css/animate.css,2011-10-12 10:07:38,4145,313,22,2023-02-16 13:20:58,1:36:01.030907,CSS,815,838,0.9725536992840096
storybookjs/storybook,2016-03-18 04:23:44,2526,7775,1144,2023-02-16 14:54:41,0:02:18.030907,TypeScript,8207,10087,0.813621493010806
Genymobile/scrcpy,2017-11-21 18:00:27,1912,64,29,2023-02-16 14:40:28,0:16:31.030907,C,2148,3360,0.6392857142857142
nvbn/thefuck,2015-04-08 15:08:04,2870,478,17,2023-02-16 14:14:08,0:42:51.030907,Python,452,663,0.6817496229260935
tensorflow/models,2016-02-05 01:15:20,2568,2288,29,2023-02-16 10:59:12,3:57:47.030907,Jupyter Notebook,6014,7065,0.851238499646143
laravel/laravel,2011-06-08 03:06:08,4271,1483,132,2023-02-16 14:42:46,0:14:13.030907,PHP,0,0,0
MisterBooo/LeetCodeAnimation,2018-12-06 08:01:22,1533,63,0,2023-02-16 14:40:56,0:16:03.030907,Java,42,58,0.7241379310344828
gothinkster/realworld,2016-02-26 20:49:53,2546,305,0,2023-02-16 12:52:45,2:04:14.030907,TypeScript,459,509,0.9017681728880157
FortAwesome/Font-Awesome,2012-02-17 14:19:43,4017,196,50,2023-02-16 14:19:05,0:37:54.030907,JavaScript,13420,18721,0.7168420490358421
papers-we-love/papers-we-love,2013-12-15 14:31:41,3350,414,0,2023-02-16 14:46:38,0:10:21.030907,Shell,171,188,0.9095744680851063
